City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Matamoros,MX,2021-04-03 02:49:53,25.5333,-103.25,82.4,28,75,4.61
239,Alta Floresta,BR,2021-04-03 02:42:50,-9.8756,-56.0861,71.06,95,100,2.84
240,Pundaguitan,PH,2021-04-03 02:49:53,6.3711,126.1689,83.03,71,73,11.65
241,Comodoro Rivadavia,AR,2021-04-03 02:49:53,-45.8667,-67.5,51.8,93,0,2.3
242,Namatanai,PG,2021-04-03 02:44:19,-3.6667,152.4333,86.65,64,36,5.79
243,Nuuk,GL,2021-04-03 02:42:44,64.1835,-51.7216,15.8,79,91,17.27
244,Kvarkeno,RU,2021-04-03 02:49:54,52.0833,59.725,27.63,83,100,10.87
245,Te Anau,NZ,2021-04-03 02:49:54,-45.4167,167.7167,59.99,46,100,7.72
246,Estacion Coahuila,MX,2021-04-03 02:49:54,32.1939,-115.0017,91.4,6,1,4.61
247,Fethiye,TR,2021-04-03 02:49:54,36.6217,29.1164,44.6,93,0,6.91
248,Middelburg,ZA,2021-04-03 02:49:55,-25.7751,29.4648,58.59,53,0,5.64
249,Pacifica,US,2021-04-03 02:49:55,37.6138,-122.4869,52.0,81,90,6.91
250,Nybro,SE,2021-04-03 02:49:55,56.7446,15.9071,39.0,75,12,11.99
251,Cairns,AU,2021-04-03 02:45:06,-16.9167,145.7667,86.0,62,40,13.8
252,Saskatoon,CA,2021-04-03 02:47:19,52.1168,-106.6345,44.6,31,90,2.3
253,Pinsk,BY,2021-04-03 02:49:55,52.1229,26.0951,34.39,74,93,5.59
254,Sola,VU,2021-04-03 02:49:56,-13.8833,167.55,82.8,75,98,10.11
255,Hede,CN,2021-04-03 02:49:56,33.7681,120.2517,51.53,89,100,13.0
256,Pauini,BR,2021-04-03 02:49:56,-7.7136,-66.9764,73.29,98,100,0.47
257,Hambantota,LK,2021-04-03 02:49:56,6.1241,81.1185,77.0,100,99,4.61
258,Pacific Grove,US,2021-04-03 02:40:51,36.6177,-121.9166,52.0,85,6,1.01
259,Kyshtovka,RU,2021-04-03 02:49:57,56.555,76.6271,32.65,98,100,12.12
260,Nikolskoye,RU,2021-04-03 02:44:03,59.7035,30.7861,33.01,93,90,6.71
261,Chino Valley,US,2021-04-03 02:49:57,34.7575,-112.4538,64.99,40,20,1.01
262,North Bend,US,2021-04-03 02:49:57,43.4065,-124.2243,51.01,81,1,16.11
263,Mountain Home,US,2021-04-03 02:49:57,43.133,-115.6912,66.2,20,1,6.91
264,Lata,PT,2021-04-03 02:44:22,40.1629,-8.3327,57.0,93,50,1.45
265,Rura,IN,2021-04-03 02:49:58,26.4833,79.9,84.38,3,0,6.6
266,Sun Valley,US,2021-04-03 02:49:58,39.5963,-119.776,66.2,17,1,11.5
267,Leningradskiy,RU,2021-04-03 02:42:33,69.3833,178.4167,-9.67,92,79,3.38
268,Okha,RU,2021-04-03 02:49:58,53.5739,142.9478,33.01,98,100,16.22
269,Ouadda,CF,2021-04-03 02:49:58,8.0777,22.4007,71.04,44,100,3.06
270,Wladyslawowo,PL,2021-04-03 02:49:59,54.7909,18.4009,37.0,93,0,6.91
271,Guerrero Negro,MX,2021-04-03 02:43:28,27.9769,-114.0611,59.81,85,0,14.45
272,Bonavista,CA,2021-04-03 02:42:54,48.6499,-53.1147,42.8,87,100,5.75
273,Palamos,ES,2021-04-03 02:49:59,41.8484,3.1291,53.01,81,0,3.65
274,Balabac,PH,2021-04-03 02:49:59,7.9868,117.0645,81.99,81,100,10.74
275,Urbino,IT,2021-04-03 02:49:59,43.7298,12.6356,60.01,57,5,11.01
276,Jumla,NP,2021-04-03 02:39:04,29.2747,82.1838,53.65,6,3,6.04
277,Ankang,CN,2021-04-03 02:50:00,32.68,109.0172,51.3,93,100,0.92
278,Riverton,US,2021-04-03 02:50:00,40.5219,-111.9391,61.0,24,0,2.51
279,Chase,CA,2021-04-03 02:50:00,50.8165,-119.6857,46.4,66,100,2.3
280,Russellville,US,2021-04-03 02:45:44,35.2784,-93.1338,51.8,43,1,4.61
281,Tateyama,JP,2021-04-03 02:43:53,34.9833,139.8667,66.99,52,75,11.5
282,Vanino,RU,2021-04-03 02:50:00,49.0869,140.2543,50.85,59,100,14.76
